,Table,Row(JP),Row(EN),Description
1,rakuten_{shop}.csv,予約ステータス,booking_status,"status of booking (""noshow""=no show up, ""キャンセル確認済""=confirmed cancellation, ""キャンセル済（管理画面より）""=cancelled by admin, ""キャンセル済（予約直後）""=cancelled right after booking, ""キャンセル未確認""=unconfirmed cancellation, ""予約確認済""=confirmed booking, ""予約確認済（料金変更あり）""=confirmed booking with price changes, ""予約未確認""=unconfirmed booking"
2,rakuten_{shop}.csv,楽天予約番号,rakuten_booking_number,booking number created by OTA
5,rakuten_{shop}.csv,御社予約番号,company_booking_number,booking number created by company
6,rakuten_{shop}.csv,楽パック予約番号,rakupack_booking_number,unknown
7,rakuten_{shop}.csv,予約受付日時,request_date_time,date and time of the request made
8,rakuten_{shop}.csv,予約確認日時,request_confirmed_date_time,date and time of the request confirmed
9,rakuten_{shop}.csv,キャンセル受付日時,cancel_request_date_time,date and time of cancellation made
10,rakuten_{shop}.csv,キャンセル日時,cancel_confirmed_date_time,date and time of cancellation confirmed
11,rakuten_{shop}.csv,乗車人数,number_of_passengers,total number of passengers including children
12,rakuten_{shop}.csv,内子供人数,number_of_children,number of child passengers
13,rakuten_{shop}.csv,予約フライト№,flight_number,flight number of planes.
14,rakuten_{shop}.csv,宿泊施設名,accommodation_name,name of accommodation
15,rakuten_{shop}.csv,宿泊施設住所,accommodation_address,address of accommodation
16,rakuten_{shop}.csv,宿泊施設電話番号,accommodation_phone_number,phone number of accommodation
17,rakuten_{shop}.csv,予約番号（宿泊）,accommodation_booking_number,booking number provided by accommodation
18,rakuten_{shop}.csv,貸渡方法,pickup_method,"how to pick up cars (""来店""=pick up at the shop)"
19,rakuten_{shop}.csv,貸渡日時,pickup_date_time,date and time to pick up cars
20,rakuten_{shop}.csv,貸渡営業所コード,pickup_shop_code,code of shop where to pick up cars
21,rakuten_{shop}.csv,貸渡営業所名,pickup_shop_name,name of shop where to pick up cars
22,rakuten_{shop}.csv,返却日時,return_date_time,date and time to return cars
23,rakuten_{shop}.csv,返却営業所コード,return_shop_code,code of shop where to return cars
24,rakuten_{shop}.csv,返却営業所名,return_shop_name,name of shop where to return cars
25,rakuten_{shop}.csv,事業者車両クラスコード,company_car_class_code,code of car classes made by company
26,rakuten_{shop}.csv,詳細車両クラスコード,detail_car_class_code,code of detail car classes
27,rakuten_{shop}.csv,詳細車両クラス名,detail_car_class_name,name of detail car classes
28,rakuten_{shop}.csv,AT/MT区分,transmission,"""AT""=automatic transmission, ""MT""=manual transmission"
29,rakuten_{shop}.csv,キャンペーン,campaign,campaign name
