事業者名,ステータス,精算,予約番号,企画区分,申込日,キャンセル日,貸出日時,貸出営業所,貸出営業所コード,返却日時,返却営業所,返却営業所コード,料金プラン,車両クラス,AT/MT,禁煙/喫煙,オプション,免責補償,乗車人数,到着便,出発便,基本料金合計（予約時）,乗捨料金（予約時）,オプション料金（予約時明細）,オプション料金（予約時合計金額）,免責補償料金（予約時明細）,免責補償料金（予約時合計金額）,深夜手数料（予約時）,合計金額（予約時）,最終利用金額,DP最終利用金額,キャンセル料金,利用ポイント,クーポンコード,クーポン名称,利用クーポン金額,計算基準額,システム利用料,販促プログラム,ポイント付与料,ポイント追加付与料,料金プランコード,メモ,DPオペレーターメモ,DP用最終更新日時
  ニコニコレンタカー,予約成立,済,R08EYWXP,じゃらん,2016/2/17 0:28,,2016/3/20 8:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2016/3/22 19:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【スタッドレスタイヤ・4WD標準装備】コンパクトカー 禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1 / スタッドレスタイヤ × 1 / 4WD × 1,,大人: 2 名、子ども: 0 名,GK101,JW914,7000,0,カーナビ × 1（0円） / ETC車載器 × 1（0円） / スタッドレスタイヤ × 1（0円） / 4WD × 1（0円）,0,,0,0,7000,7000,,0,900,CUPR000112,"直前予約限定1,000円OFFクーポン【3/1迄】",1000,6481,777,0,129,0,SCS01,,,
  ニコニコレンタカー,予約成立,済,R0XCAL5G,じゃらん,2016/2/23 14:55,,2016/3/5 10:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2016/3/7 17:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【スタッドレスタイヤ・4WD標準装備】コンパクトカー (デミオ・ヴィッツ等/喫煙可),Sクラス喫煙（SCS002）,AT,喫煙,カーナビ × 1 / ETC車載器 × 1 / スタッドレスタイヤ × 1 / 4WD × 1,免責補償制度,大人: 2 名、子ども: 0 名,AIRDO113,AIRDO116,6500,0,カーナビ × 1（0円） / ETC車載器 × 1（0円） / スタッドレスタイヤ × 1（0円） / 4WD × 1（0円）,0,免責補償制度（3240円）,3240,0,9740,9740,,0,0,,,,9018,1082,0,180,0,SCS02,,,
  ニコニコレンタカー,予約成立,済,R0Q6F5RK,じゃらん,2016/2/25 17:41,,2016/3/19 16:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2016/3/22 14:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【スタッドレスタイヤ・4WD標準装備】8人乗りワゴンクラス 禁煙 (ノア・セレナ等),Fクラス(SCF001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1 / スタッドレスタイヤ × 1 / 4WD × 1,免責補償制度,大人: 6 名、子ども: 0 名,JAL519,JAL512,19500,0,カーナビ × 1（0円） / ETC車載器 × 1（0円） / スタッドレスタイヤ × 1（0円） / 4WD × 1（0円）,0,免責補償制度（3240円）,3240,0,22740,22740,,0,0,CUPR000111,"直前予約限定2,000円OFFクーポン【3/1迄】",2000,21055,2526,0,421,0,SCF001,,,
  ニコニコレンタカー,予約成立,済,R0AMIV7U,じゃらん,2016/2/27 23:30,,2016/3/18 18:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2016/3/20 20:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【スタッドレスタイヤ・4WD標準装備】コンパクトカー (デミオ・ヴィッツ等/喫煙可),Sクラス喫煙（SCS002）,AT,喫煙,カーナビ × 1 / ETC車載器 × 1 / スタッドレスタイヤ × 1 / 4WD × 1,免責補償制度,大人: 1 名、子ども: 0 名,MM107,MM104,6500,0,カーナビ × 1（0円） / ETC車載器 × 1（0円） / スタッドレスタイヤ × 1（0円） / 4WD × 1（0円）,0,免責補償制度（3240円）,3240,0,9740,9740,,0,0,CUPR000112,"直前予約限定1,000円OFFクーポン【3/1迄】",1000,9018,1082,0,180,0,SCS02,,,
  ニコニコレンタカー,来店なし,済,R09X4Q0I,じゃらん,2016/3/1 2:27,2016/3/3 18:13,2016/3/3 10:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2016/3/5 17:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【スタッドレスタイヤ・4WD標準装備】軽自動車 禁煙 (ワゴンR・タント等),Kクラス(SCK001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1 / スタッドレスタイヤ × 1 / 4WD × 1,免責補償制度,大人: 2 名、子ども: 0 名,APJ 121 ,ANA 1720 ,6000,0,カーナビ × 1（0円） / ETC車載器 × 1（0円） / スタッドレスタイヤ × 1（0円） / 4WD × 1（0円）,0,免責補償制度（3240円）,3240,0,9240,0,,0,0,,,,0,0,0,0,0,SCK01,,,
  ニコニコレンタカー,キャンセル（予約者都合）,済,R0F3AUGR,じゃらん,2016/3/1 19:40,2016/3/30 21:04,2016/4/4 10:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2016/4/5 18:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【スタッドレスタイヤ・4WD標準装備】コンパクトカー (デミオ・ヴィッツ等/喫煙可),Sクラス喫煙（SCS002）,AT,喫煙,カーナビ × 1 / ETC車載器 × 1 / スタッドレスタイヤ × 1 / 4WD × 1,免責補償制度,大人: 2 名、子ども: 0 名,Jetster GK181,Jetster GK186,4500,0,カーナビ × 1（0円） / ETC車載器 × 1（0円） / スタッドレスタイヤ × 1（0円） / 4WD × 1（0円）,0,免責補償制度（2160円）,2160,0,6660,0,,0,0,,,,0,0,0,0,0,SCS02,,,
  ニコニコレンタカー,予約成立,済,R0XIVA5M,じゃらん,2016/3/2 10:05,,2016/3/17 10:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2016/3/20 17:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【スタッドレスタイヤ・4WD標準装備】軽自動車 禁煙 (ワゴンR・タント等),Kクラス(SCK001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1 / スタッドレスタイヤ × 1 / 4WD × 1,免責補償制度,大人: 2 名、子ども: 0 名,JAL505,JAL522,8000,0,カーナビ × 1（0円） / ETC車載器 × 1（0円） / スタッドレスタイヤ × 1（0円） / 4WD × 1（0円）,0,免責補償制度（4320円）,4320,0,12320,12320,,0,0,CUPR000116,"全国で使える2,000円OFFクーポン【3/15迄】",2000,11407,1368,0,228,0,SCK01,,,
  ニコニコレンタカー,キャンセル（予約者都合）,済,R0OBPHN6,じゃらん,2016/3/3 11:22,2016/3/8 11:55,2016/4/1 9:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2016/4/3 17:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【スタッドレスタイヤ・4WD標準装備】軽自動車 禁煙 (ワゴンR・タント等),Kクラス(SCK001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1 / スタッドレスタイヤ × 1 / 4WD × 1,免責補償制度,大人: 4 名、子ども: 0 名,JAL503,JAL522,6000,0,カーナビ × 1（0円） / ETC車載器 × 1（0円） / スタッドレスタイヤ × 1（0円） / 4WD × 1（0円）,0,免責補償制度（3240円）,3240,0,9240,0,,0,0,,,,0,0,0,0,0,SCK01,,,
  ニコニコレンタカー,予約成立,済,R0OLBUZM,じゃらん,2016/3/3 11:55,,2016/3/21 8:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2016/3/22 19:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【スタッドレスタイヤ・4WD標準装備】軽自動車 禁煙 (ワゴンR・タント等),Kクラス(SCK001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1 / スタッドレスタイヤ × 1 / 4WD × 1,,大人: 2 名、子ども: 0 名,JAL0501,JAL0528,4000,0,カーナビ × 1（0円） / ETC車載器 × 1（0円） / スタッドレスタイヤ × 1（0円） / 4WD × 1（0円）,0,,0,0,4000,4000,,0,0,,,,3703,444,0,74,0,SCK01,,,
  ニコニコレンタカー,予約成立,済,R0YO77V5,じゃらん,2016/3/3 20:06,,2016/3/26 10:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2016/4/2 12:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【スタッドレスタイヤ・4WD標準装備】8人乗りワゴンクラス 禁煙 (ノア・セレナ等),Fクラス(SCF001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1 / スタッドレスタイヤ × 1 / 4WD × 1 / チャイルドシート × 1 / 免責補償プラス(NOC免除) × 1,免責補償制度,大人: 4 名、子ども: 2 名,ANA1857,ANA1116,47500,0,カーナビ × 1（0円） / ETC車載器 × 1（0円） / スタッドレスタイヤ × 1（0円） / 4WD × 1（0円） / チャイルドシート × 1（4320円） / 免責補償プラス(NOC免除) × 1（4320円）,8640,免責補償制度（8640円）,8640,0,64780,64780,,0,0,,,,59981,7197,0,1199,0,SCF001,,,
