company_name,pickup_date,target
jalan,2016-02-21,0
rakuten,2016-02-21,2
jalan,2016-02-27,0
rakuten,2016-02-27,2
jalan,2016-02-28,0
rakuten,2016-02-28,1
jalan,2016-02-29,0
rakuten,2016-02-29,1
jalan,2016-03-04,0
rakuten,2016-03-04,1
jalan,2016-03-05,1
rakuten,2016-03-05,0
jalan,2016-03-06,0
rakuten,2016-03-06,2
jalan,2016-03-08,1
rakuten,2016-03-08,1
jalan,2016-03-09,0
rakuten,2016-03-09,1
jalan,2016-03-10,1
rakuten,2016-03-10,0
jalan,2016-03-11,0
rakuten,2016-03-11,4
jalan,2016-03-12,0
rakuten,2016-03-12,3
jalan,2016-03-13,1
rakuten,2016-03-13,0
jalan,2016-03-14,0
rakuten,2016-03-14,2
jalan,2016-03-15,1
rakuten,2016-03-15,0
jalan,2016-03-17,1
rakuten,2016-03-17,0
jalan,2016-03-18,1
rakuten,2016-03-18,2
jalan,2016-03-19,1
rakuten,2016-03-19,1
jalan,2016-03-20,1
rakuten,2016-03-20,0
jalan,2016-03-21,1
rakuten,2016-03-21,1
jalan,2016-03-23,1
rakuten,2016-03-23,3
jalan,2016-03-24,1
rakuten,2016-03-24,0
jalan,2016-03-25,0
rakuten,2016-03-25,1
jalan,2016-03-26,2
rakuten,2016-03-26,2
jalan,2016-03-27,1
rakuten,2016-03-27,1
jalan,2016-03-28,0
rakuten,2016-03-28,2
jalan,2016-03-29,0
rakuten,2016-03-29,2
jalan,2016-03-30,1
rakuten,2016-03-30,1
jalan,2016-03-31,1
rakuten,2016-03-31,0
jalan,2016-04-01,1
rakuten,2016-04-01,0
jalan,2016-04-02,0
rakuten,2016-04-02,3
jalan,2016-04-03,3
rakuten,2016-04-03,0
jalan,2016-04-05,0
rakuten,2016-04-05,2
jalan,2016-04-08,0
rakuten,2016-04-08,1
jalan,2016-04-09,2
rakuten,2016-04-09,0
jalan,2016-04-12,0
rakuten,2016-04-12,1
jalan,2016-04-13,1
rakuten,2016-04-13,0
jalan,2016-04-16,1
rakuten,2016-04-16,0
jalan,2016-04-17,0
rakuten,2016-04-17,1
jalan,2016-04-18,1
rakuten,2016-04-18,1
jalan,2016-04-20,1
rakuten,2016-04-20,0
jalan,2016-04-21,1
rakuten,2016-04-21,2
jalan,2016-04-22,1
rakuten,2016-04-22,1
jalan,2016-04-23,2
rakuten,2016-04-23,0
jalan,2016-04-25,1
rakuten,2016-04-25,1
jalan,2016-04-28,1
rakuten,2016-04-28,0
jalan,2016-04-29,0
rakuten,2016-04-29,1
jalan,2016-04-30,3
rakuten,2016-04-30,2
jalan,2016-05-01,0
rakuten,2016-05-01,2
jalan,2016-05-02,1
rakuten,2016-05-02,2
jalan,2016-05-03,2
rakuten,2016-05-03,4
jalan,2016-05-08,1
rakuten,2016-05-08,2
jalan,2016-05-09,0
rakuten,2016-05-09,3
jalan,2016-05-10,0
rakuten,2016-05-10,1
jalan,2016-05-12,0
rakuten,2016-05-12,1
jalan,2016-05-13,2
rakuten,2016-05-13,1
jalan,2016-05-14,1
rakuten,2016-05-14,3
jalan,2016-05-15,2
rakuten,2016-05-15,0
jalan,2016-05-16,1
rakuten,2016-05-16,0
jalan,2016-05-17,1
rakuten,2016-05-17,1
jalan,2016-05-18,1
rakuten,2016-05-18,2
jalan,2016-05-19,1
rakuten,2016-05-19,1
jalan,2016-05-20,0
rakuten,2016-05-20,3
jalan,2016-05-21,1
rakuten,2016-05-21,2
jalan,2016-05-22,0
rakuten,2016-05-22,1
jalan,2016-05-23,0
rakuten,2016-05-23,1
jalan,2016-05-25,1
rakuten,2016-05-25,1
jalan,2016-05-27,2
rakuten,2016-05-27,3
jalan,2016-05-28,0
rakuten,2016-05-28,3
jalan,2016-05-29,0
rakuten,2016-05-29,1
jalan,2016-05-30,0
rakuten,2016-05-30,2
jalan,2016-05-31,0
rakuten,2016-05-31,4
jalan,2016-06-01,0
rakuten,2016-06-01,3
jalan,2016-06-02,2
rakuten,2016-06-02,0
jalan,2016-06-03,0
rakuten,2016-06-03,1
jalan,2016-06-04,0
rakuten,2016-06-04,3
jalan,2016-06-06,0
rakuten,2016-06-06,1
jalan,2016-06-07,0
rakuten,2016-06-07,2
jalan,2016-06-08,1
rakuten,2016-06-08,0
jalan,2016-06-09,0
rakuten,2016-06-09,2
jalan,2016-06-10,3
rakuten,2016-06-10,2
jalan,2016-06-11,0
rakuten,2016-06-11,3
jalan,2016-06-12,0
rakuten,2016-06-12,2
jalan,2016-06-13,0
rakuten,2016-06-13,4
jalan,2016-06-14,0
rakuten,2016-06-14,1
jalan,2016-06-15,0
rakuten,2016-06-15,1
jalan,2016-06-16,0
rakuten,2016-06-16,2
jalan,2016-06-17,0
rakuten,2016-06-17,2
jalan,2016-06-18,0
rakuten,2016-06-18,5
jalan,2016-06-19,0
rakuten,2016-06-19,3
jalan,2016-06-20,2
rakuten,2016-06-20,2
jalan,2016-06-21,0
rakuten,2016-06-21,6
jalan,2016-06-22,0
rakuten,2016-06-22,5
jalan,2016-06-23,1
rakuten,2016-06-23,6
jalan,2016-06-24,4
rakuten,2016-06-24,11
jalan,2016-06-25,4
rakuten,2016-06-25,4
jalan,2016-06-26,2
rakuten,2016-06-26,4
jalan,2016-06-27,0
rakuten,2016-06-27,3
jalan,2016-06-28,1
rakuten,2016-06-28,3
jalan,2016-06-29,0
rakuten,2016-06-29,7
jalan,2016-06-30,2
rakuten,2016-06-30,6
jalan,2016-07-01,2
rakuten,2016-07-01,8
jalan,2016-07-02,3
rakuten,2016-07-02,2
jalan,2016-07-03,1
rakuten,2016-07-03,3
jalan,2016-07-04,3
rakuten,2016-07-04,8
jalan,2016-07-05,4
rakuten,2016-07-05,5
jalan,2016-07-06,0
rakuten,2016-07-06,8
jalan,2016-07-07,2
rakuten,2016-07-07,5
jalan,2016-07-08,3
rakuten,2016-07-08,11
jalan,2016-07-09,2
rakuten,2016-07-09,2
jalan,2016-07-10,4
rakuten,2016-07-10,4
jalan,2016-07-11,2
rakuten,2016-07-11,4
